id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35492722,30min Shinjuku/Ginza/Asakusa+5m to station (2Bed R,227428693,Ted,Adachi Ku,35.76642,139.77343,Entire home/apt,10222,1,0,,,3,112
35493335,Private Apartment Setagaya TOKYO,267027075,Komi,Setagaya Ku,35.64945,139.642,Private room,12805,1,1,2019-06-16,1,1,129
35495324,【ｵｰﾌﾟﾆﾝｸﾞｾｰﾙ♪】最大10名宿泊可能｡1棟貸し切りﾌﾟﾗﾝ!浅草駅徒歩7分｡,265908299,Masahiro,Taito Ku,35.71373,139.79381,Entire home/apt,50035,1,0,,,5,187
35496787,4Rooms/8beds/16PAX! 5min to Shinjuku High-grade #5,20393390,Jun And Junko,Shibuya Ku,35.67205,139.66698,Entire home/apt,40028,2,0,,,5,199
35496957,"距离车站步行5分钟､近浅草寺､雷门､天空树等景区,合住女生公寓Bed2",265771053,美惠,Sumida Ku,35.7373,139.81975,Shared room,3013,1,0,,,5,180
35497515,"Reasonable, Private Bunk Bed Room / Free WiFi",267065535,Frances,Shinjuku Ku,35.69907,139.69716,Entire home/apt,8716,1,0,,,8,115
35498358,"距离车站步行5分钟左右,近浅草寺､雷门､天空树等景区,合住女生公寓Bed3",265771053,美惠,Sumida Ku,35.73672,139.82153,Shared room,2475,1,0,,,5,180
35499341,商店街近隣､大规模新装修､空港ｱｸｾｽ便利 最大10名滞在可能,266732995,Anjyu & Yukio,Edogawa Ku,35.69768,139.91197,Private room,4304,1,0,,,1,181
35499460,Reasonable Bunk Bed Private Room  / Free WiFi,267065535,Frances,Shinjuku Ku,35.69929,139.69688,Entire home/apt,8285,1,0,,,8,70
35500812,"距离车站步行5分钟左右,近浅草寺､雷门､天空树等景区,合住女生公寓Bed4",265771053,美惠,Sumida Ku,35.73586,139.82051,Shared room,2475,1,0,,,5,178
35501076,♡池袋女性専用♡Mana Ocean101A♡2Women's share room,54037182,Asama,Toshima Ku,35.74118,139.70988,Shared room,3120,1,0,,,3,38
35503078,Private Simple Single room in Shinjuku / Free WiFi,267065535,Frances,Shinjuku Ku,35.69922,139.69735,Entire home/apt,6241,1,2,2019-06-26,2,8,81
35504797,4Rooms/9beds/20PAX! 5min to Shinjuku High-grade #6,20393390,Jun And Junko,Shibuya Ku,35.67259,139.6689,Entire home/apt,40028,2,0,,,5,207
35505261,"Mini Studio with loft, SKYTREE/Asakusa 10mins walk",42876350,Xun,Sumida Ku,35.70635,139.80527,Entire home/apt,9469,1,1,2019-06-21,1,8,114
35505842,2 minutes JR station relaxed apartment,28396334,Sherry,Sumida Ku,35.69808,139.81456,Entire home/apt,14957,2,0,,,3,79
35520477,7 min walk from JR IKEBUKURO STA SAFE AREA★59,229635334,Goody,Toshima Ku,35.7358,139.70668,Entire home/apt,6026,1,0,,,39,39
35523983,"距离车站步行5分钟左右,近浅草寺､雷门､天空树等景区,双人间",265771053,美惠,Sumida Ku,35.73811,139.82196,Private room,4519,1,0,,,5,155
35524263,"Japanese living & Child playing Room, Near Asakusa",57032843,Aki,Katsushika Ku,35.75253,139.82611,Entire home/apt,20229,2,0,,,1,123
35525525,Sweet Home 4 mins to Higa-Shinjuku Sta.&Free WIFI,133065323,Sweetie,Shinjuku Ku,35.69925,139.70555,Entire home/apt,12482,1,3,2019-06-25,3,3,139
